Infected Mushroom,The Gathering,1998,1
Karuma,Magnetized,1998,1
Fortress,An Angel Saved My Life,1998,1
Oliver Klein,Timeloop (Remixes),1998,1
Jürgen Driessen / Paul Nord,Mutekki E.P.,1998,1
DJ Activator vs. Overdrive,The Noise Of Act,1999,1
Fred & Ginger,Slamjam,1999,1
Dirk Diggler (4) / The Son,Shades Of Disco Vol 1,1999,1
Buzzy Bus,You Don't Stop!,1999,1
Swift (2) / Niko T.,Feel Good / 9 PM (Till I Come),2000,1
Dirty Mindz,Psychedelic Vibrations,2000,1
Chiller Productions,Perfect Every Time,2001,1
Various,Puka Naka Bar Lounge Club Vol. 1,2003,1
Vision (3),Wastin' Time,2004,1
Joey Fingaz,El Mafioso Vol. 3 - Game Recognize Game,2007,1
